trade_id,strategy,open_madrid,close_madrid,duration_hours,direction,result,rr,entry_price,sl_price,exit_price,sl_size,sl_pct,exit_reason
124,EMS-r2-h4ema100,2019-06-20 00:00:00+0200,2019-06-27 11:00:00+0200,179.0,Long,TP,29.23,9211.08,9114.66,12028.99,96.42,1.0468,H1_EMA100
125,EMS-r2-h4ema100,2019-06-28 14:00:00+0200,2019-06-28 14:30:00+0200,0.5,Long,SL,-1.0,12178.81,11864.46,11864.46,314.35,2.5811,STRUCTURAL_SL
126,EMS-r2-h4ema100,2019-06-29 15:30:00+0200,2019-06-29 18:00:00+0200,2.5,Long,SL,-1.0,12039.33,11774.64,11774.64,264.69,2.1985,STRUCTURAL_SL
127,EMS-r2-h4ema100,2019-07-02 21:00:00+0200,2019-07-05 02:00:00+0200,53.0,Long,TP,1.4,10724.65,10423.13,11145.67,301.52,2.8115,H1_EMA100
128,EMS-r2-h4ema100,2019-07-06 06:00:00+0200,2019-07-06 10:00:00+0200,4.0,Long,SL,-1.0,11445.81,11280.47,11280.47,165.34,1.4445,STRUCTURAL_SL
129,EMS-r2-h4ema100,2019-07-07 17:00:00+0200,2019-07-07 17:30:00+0200,0.5,Long,SL,-1.0,11307.1,11232.53,11232.53,74.57,0.6595,STRUCTURAL_SL
130,EMS-r2-h4ema100,2019-07-07 20:30:00+0200,2019-07-10 18:00:00+0200,69.5,Long,TP,3.32,11408.43,11119.6,12367.91,288.83,2.5317,H1_EMA100
131,EMS-r2-h4ema100,2019-08-04 18:00:00+0200,2019-08-07 00:00:00+0200,54.0,Long,TP,1.42,10944.22,10636.01,11382.41,308.21,2.8162,H1_EMA100
132,EMS-r2-h4ema100,2019-08-07 15:30:00+0200,2019-08-07 17:00:00+0200,1.5,Long,SL,-1.0,12081.31,11707.08,11707.08,374.23,3.0976,STRUCTURAL_SL
133,EMS-r2-h4ema100,2019-08-09 03:00:00+0200,2019-08-09 11:00:00+0200,8.0,Long,SL,-1.0,11969.94,11720.0,11720.0,249.94,2.0881,STRUCTURAL_SL
134,EMS-r2-h4ema100,2019-08-09 22:30:00+0200,2019-08-10 05:00:00+0200,6.5,Long,SL,-0.57,11876.05,11746.75,11801.73,129.3,1.0887,H1_EMA100
135,EMS-r2-h4ema100,2019-08-12 01:00:00+0200,2019-08-12 01:30:00+0200,0.5,Long,SL,-1.0,11513.82,11480.02,11480.02,33.8,0.2936,STRUCTURAL_SL
136,EMS-r2-h4ema100,2019-08-20 18:00:00+0200,2019-08-21 04:30:00+0200,10.5,Long,SL,-1.0,10744.54,10580.0,10580.0,164.54,1.5314,STRUCTURAL_SL
137,EMS-r2-h4ema100,2019-09-04 19:30:00+0200,2019-09-05 20:00:00+0200,24.5,Long,SL,-0.56,10622.52,10393.63,10495.11,228.89,2.1548,H1_EMA100
138,EMS-r2-h4ema100,2019-09-06 02:30:00+0200,2019-09-06 19:30:00+0200,17.0,Long,SL,-1.0,10569.06,10526.98,10526.98,42.08,0.3981,STRUCTURAL_SL
139,EMS-r2-h4ema100,2019-09-07 23:30:00+0200,2019-09-08 01:00:00+0200,1.5,Long,SL,-0.11,10480.12,10420.0,10473.32,60.12,0.5737,H1_EMA100
140,EMS-r2-h4ema100,2019-09-14 02:30:00+0200,2019-09-14 14:00:00+0200,11.5,Long,SL,-1.0,10322.98,10245.51,10245.51,77.47,0.7505,STRUCTURAL_SL
141,EMS-r2-h4ema100,2019-09-16 04:00:00+0200,2019-09-16 06:00:00+0200,2.0,Long,SL,-0.9,10339.55,10297.36,10301.76,42.19,0.408,H1_EMA100
142,EMS-r2-h4ema100,2019-09-19 23:00:00+0200,2019-09-20 19:00:00+0200,20.0,Long,SL,-0.59,10238.25,10015.26,10107.7,222.99,2.178,H1_EMA100
143,EMS-r2-h4ema100,2019-10-29 11:30:00+0100,2019-10-29 14:00:00+0100,2.5,Long,SL,-1.0,9447.66,9351.0,9351.0,96.66,1.0231,STRUCTURAL_SL
